ParticipantID,ParticipantEmail,ParticipantFirstName,ParticipantLastName,ParticipantDOB,ParticipantRole,ParticipantPhone,ParticipantCity,ParticipantState,ParticipantZip,ParticipantSchoolOrEmployer,ParticipantFieldOfInterest,EventTemplateID,EventName,EventType,EventDescription,EventRecurrencePattern,EventDefaultCapacity,EventOccurrenceID,EventTemplateID.1,EventName.1,EventDateTimeStart,EventDateTimeEnd,EventLocation,EventCapacity,EventRegistrationDeadline,RegistrationID,ParticipantID.1,EventOccurrenceID.1,RegistrationStatus,RegistrationAttendedFlag,RegistrationCheckInTime,RegistrationCreatedAt,SurveyID,RegistrationID.1,SurveySatisfactionScore,SurveyUsefulnessScore,SurveyInstructorScore,SurveyRecommendationScore,SurveyOverallScore,SurveyNPSBucket,SurveyComments,SurveySubmissionDate,MilestoneID,ParticipantID.2,MilestoneTitle,MilestoneDate,DonationID,ParticipantID.3,DonationDate,DonationAmount
11,lucy.allen15@studentmail.org,Lucy,Allen,5/1/2012 0:00,participant,801-308-5889,Pleasant Grove,UT,84935,Cafe Rio,Both,11,STEAM Summit & Expo,Annual Conference,"Hands-on exhibits, talks, and project showcases across STEAM.",Annual,100,11,3,Girls in STEAM Mentoring,4/4/2023 10:00,4/4/2023 12:00,Community Center Room A,100,3/28/2023 10:00,11,6,11,attended,1,4/4/2023 10:03,3/13/2023 10:00,11,16,4,4,5,5,4.5,Promoter,"In my opinion, the mixed-media project during Intro to Painting Class really clicked for me, it boosted my confidence more than I expected; I'd come again and bring a classmate next time. The sketch warmups during Intro to Painting Class really clicked for me, it boosted my confidence more than I expected!",9/5/2024 15:26,11,7,High School Diploma,12/31/2023,11,34,1/8/2024,73.64
12,nora.martinez16@learners.net,Nora,Martinez,1/5/1998 0:00,participant,801-997-9689,Orem,UT,84553,Local Library,Arts,12,AI for Beginners Bootcamp,STEM,Intro to AI concepts and Python-based tools for young learners.,Monthly,60,12,4,Monthly Coding Club,6/15/2024 10:00,6/15/2024 12:00,Virtual Zoom,100,6/8/2024 10:00,12,6,12,attended,1,6/15/2024 10:02,5/24/2024 10:00,12,17,4,5,4,5,4.5,Promoter,"I left with actionable next steps, the networking breakouts during Mentor Office Hours really clicked for me. There were concrete examples I can reuse at school, the mentor roundtable during Mentor Office Hours really clicked for me  next time I'd bring a friend. The panel Q&A during Mentor Office Hours really clicked for me, I left with actionable next steps; This was absolutely worth the time!",8/25/2025 23:28,12,8,Junior QA Tester,6/2/2029,12,35,1/8/2024,73.64
13,alexander.johnson17@ellarises.org,Alexander,Johnson,4/20/1999 0:00,participant,801-514-4923,Draper,UT,84900,Valley Charter,Both,13,Digital Design Workshop,Arts,"Graphic design, UX/UI basics, and creative tech projects.",Weekly,40,13,5,Intro to Painting Class,9/18/2025 10:00,9/18/2025 12:00,Local Library,100,9/11/2025 10:00,13,7,13,attended,1,9/18/2025 10:08,9/15/2025 10:00,13,18,5,5,4,4,4.5,Passive,"There were concrete examples I can reuse at school, the Arduino demo during Data Science Study Group really clicked for me; I left energized to keep learning! To be fair, the web dev sprint during Data Science Study Group really clicked for me, there were concrete examples I can reuse at school; I'd definitely recommend this to a friend. At first, I left with actionable next steps, the web dev sprint during Data Science Study Group really clicked for me.",11/12/2021 9:07,13,9,Junior QA Tester,6/2/2029,13,36,7/21/2023,50.71
14,abigail.garcia18@community.org,Abigail,Garcia,11/17/2000 0:00,participant,801-745-3060,Ogden,UT,84779,Tech Apprenticeship,Arts,14,Community STEM Hackathon,STEM,"Collaborative, problem-solving challenges in coding and engineering.",Monthly,120,14,2,Robotics Lab Saturday,2/3/2024 10:00,2/3/2024 12:00,Local Library,100,1/27/2024 10:00,14,8,14,attended,1,2/3/2024 10:06,1/16/2024 10:00,14,19,5,4,5,5,4.75,Promoter,"The coding challenges during Data Science Study Group really clicked for me, the pacing made complex ideas feel doable; I'd definitely recommend this to a friend. The coding challenges during Data Science Study Group really clicked for me, I met people who want to collaborate on projects; This was absolutely worth the time. There were concrete examples I can reuse at school, the robot build during Data Science Study Group really clicked for me.",3/3/2023 8:22,14,10,Junior QA Tester,6/2/2029,14,36,4/18/2023,23.27
15,chloe.taylor19@community.org,Chloe,Taylor,12/28/2013 0:00,participant,801-752-4295,Sandy,UT,84952,BYU,Arts,15,Women in Tech & Art Showcase,Annual Conference,Celebration of female innovation across STEAM industries.,Annual,500,15,1,Mentor Office Hours,6/16/2024 10:00,6/16/2024 12:00,Art Studio 2,100,6/9/2024 10:00,15,8,15,attended,1,6/16/2024 10:22,5/31/2024 10:00,15,20,4,3,4,5,4,Promoter,"If I'm being honest, the panel Q&A during Mentor Office Hours really clicked for me, the organizers ran things smoothly even with a big crowd (snacks were a plus)! I didn't expect this, but, the resume clinic during Mentor Office Hours really clicked for me, the hands-on segment tied everything together (wish there had been more time).",7/3/2023 14:11,15,11,Junior QA Tester,6/2/2029,15,36,UNKNOWN_DATE,401.52
16,zoe.lewis20@community.org,Zoe,Lewis,8/1/2005 0:00,participant,801-430-2049,Logan,UT,84254,Westview High,Both,,,,,,,16,5,Intro to Painting Class,9/5/2024 10:00,9/5/2024 12:00,Community Center Room A,100,8/29/2024 10:00,16,9,16,attended,1,9/5/2024 10:26,8/12/2024 10:00,16,21,4,4,5,5,4.5,Promoter,"The panel Q&A during Girls in STEAM Mentoring really clicked for me, the organizers ran things smoothly even with a big crowd; I'd come again and bring a classmate next time. The networking breakouts during Girls in STEAM Mentoring really clicked for me, I met people who want to collaborate on projects. By the end, the hands-on segment tied everything together, the goal-setting exercise during Girls in STEAM Mentoring really clicked for me.",9/6/2023 12:17,16,12,Junior QA Tester,6/2/2029,16,37,7/21/2023,50.71
17,madison.nguyen21@studentmail.org,Madison,Nguyen,2/19/2003 0:00,participant,801-924-1964,Salt Lake City,UT,84073,East Ridge Middle,STEM,,,,,,,17,1,Mentor Office Hours,8/24/2025 10:00,8/24/2025 12:00,Local Library,100,8/17/2025 10:00,17,9,17,attended,1,8/24/2025 10:28,8/12/2025 10:00,17,22,4,4,4,5,4.25,Promoter,"In my opinion, the mentor roundtable during Leadership Circle Meetup really clicked for me, I met people who want to collaborate on projects. From my perspective, it boosted my confidence more than I expected, the mentor roundtable during Leadership Circle Meetup really clicked for me.",5/17/2023 5:27,17,13,Middle School Diploma,10/18/2025,17,37,4/18/2023,23.27
18,skylar.jones22@studentmail.org,Skylar,Jones,2/4/2010 0:00,participant,801-697-4510,Layton,UT,84686,North Summit High,Both,,,,,,,18,6,Data Science Study Group,11/10/2021 10:00,11/10/2021 12:00,Community Center Room A,100,11/3/2021 10:00,18,10,18,attended,1,11/10/2021 10:07,10/13/2021 10:00,18,24,4,5,4,3,4,Detractor,"Honestly, the gallery walk during Intro to Painting Class really clicked for me, the organizers ran things smoothly even with a big crowd; It was useful overall. The organizers ran things smoothly even with a big crowd, the gallery walk during Intro to Painting Class really clicked for me; It was useful overall. (wish there had been more time). To be fair, the organizers ran things smoothly even with a big crowd, the sketch warmups during Intro to Painting Class really clicked for me; I might recommend it depending on the topic.  especially for beginners!",9/30/2022 6:28,18,13,Product Designer,2/2/2032,18,37,UNKNOWN_DATE,401.52
19,jack.thomas23@community.org,Jack,Thomas,10/12/2012 0:00,participant,801-296-2588,Taylorsville,UT,84195,SLCC,Arts,,,,,,,19,6,Data Science Study Group,3/1/2023 10:00,3/1/2023 12:00,Community Center Room A,100,2/22/2023 10:00,19,11,19,attended,1,3/1/2023 10:22,2/14/2023 10:00,19,25,5,4,4,5,4.5,Promoter,"The mentors were down-to-earth and answered real questions, the color theory lesson during Intro to Painting Class really clicked for me.",6/2/2023 8:10,19,14,Published Project,5/6/2024,19,38,8/1/2023,164.19
20,elijah.clark24@community.org,Elijah,Clark,5/12/1999 0:00,participant,801-869-2612,Provo,UT,84690,SLCC,Both,,,,,,,20,1,Mentor Office Hours,7/2/2023 10:00,7/2/2023 12:00,Virtual Zoom,100,6/25/2023 10:00,20,12,20,attended,1,7/2/2023 10:11,6/22/2023 10:00,20,27,4,4,5,5,4.5,Promoter,"To be fair, the web dev sprint during Data Science Study Group really clicked for me, it boosted my confidence more than I expected! I met people who want to collaborate on projects, the Arduino demo during Data Science Study Group really clicked for me; I'd definitely recommend this to a friend. (snacks were a plus)!",11/24/2022 23:11,20,15,Published Project,5/6/2024,20,39,8/1/2023,164.19
21,violet.miller25@studentmail.org,Violet,Miller,2/22/2001 0:00,participant,801-749-8350,Sandy,UT,84195,SLCC,STEM,,,,,,,21,3,Girls in STEAM Mentoring,9/5/2023 10:00,9/5/2023 12:00,Virtual Zoom,100,8/29/2023 10:00,21,12,21,attended,1,9/5/2023 10:17,8/11/2023 10:00,21,29,5,4,4,5,4.5,Promoter,"The goal-setting exercise during Girls in STEAM Mentoring really clicked for me, I left with actionable next steps; I'd come again and bring a classmate next time. The organizers ran things smoothly even with a big crowd, the mentor roundtable during Girls in STEAM Mentoring really clicked for me. Surprisingly, the networking breakouts during Girls in STEAM Mentoring really clicked for me, I left with actionable next steps; I'd definitely recommend this to a friend.",9/12/2023 20:19,21,16,BA in Studio Arts,11/13/2029,21,47,5/18/2023,1214.27
22,olivia.garcia27@studentmail.org,Olivia,Garcia,10/18/2002 0:00,participant,801-697-8886,Orem,UT,84417,Community Center,Arts,,,,,,,22,7,Leadership Circle Meetup,5/15/2023 10:00,5/15/2023 12:00,Community Center Room A,100,5/8/2023 10:00,22,13,22,attended,1,5/15/2023 10:27,5/5/2023 10:00,22,30,4,4,5,5,4.5,Promoter,"The data activity during Robotics Lab Saturday really clicked for me, I left with actionable next steps; I left energized to keep learning. Honestly, the Python lab during Robotics Lab Saturday really clicked for me, it boosted my confidence more than I expected; This pushed me to apply for a related program.",5/3/2025 11:08,22,16,High School Diploma,11/13/2026,22,47,UNKNOWN_DATE,251.44
23,amelia.hernandez28@community.org,Amelia,Hernandez,5/25/2004 0:00,participant,801-471-8454,Salt Lake City,UT,84400,SLCC,Both,,,,,,,23,3,Girls in STEAM Mentoring,3/18/2025 10:00,3/18/2025 12:00,Local Library,100,3/11/2025 10:00,23,13,23,no-show,0,,2/25/2025 10:00,23,32,5,4,5,3,4.25,Detractor,"The breakout workshops during Ella Rises Annual Leadership Conference really clicked for me, the hands-on segment tied everything together. The breakout workshops during Ella Rises Annual Leadership Conference really clicked for me, the organizers ran things smoothly even with a big crowd; I'm curious to see how the next session improves.  next time I'd bring a friend.",6/17/2022 8:26,23,17,BA in Studio Arts,11/13/2029,23,48,5/8/2023,153.66
24,alexander.martinez29@studentmail.org,Alexander,Martinez,5/15/1999 0:00,participant,801-259-9883,Murray,UT,84223,Art Studio,Arts,,,,,,,24,5,Intro to Painting Class,9/29/2022 10:00,9/29/2022 12:00,Local Library,100,9/22/2022 10:00,24,14,24,attended,1,9/29/2022 10:28,9/12/2022 10:00,24,33,4,3,5,5,4.25,Promoter,"Overall, the data activity during Web Dev Bootcamp Night really clicked for me, the mentors were down-to-earth and answered real questions; I'm curious to see how the next session improves. The coding challenges during Web Dev Bootcamp Night really clicked for me, I left with actionable next steps; I might recommend it depending on the topic!",5/29/2022 0:07,24,17,High School Diploma,11/13/2026,24,52,11/9/2022,28.69
25,amelia.brown30@community.org,Amelia,Brown,4/11/1999 0:00,participant,801-743-3579,Pleasant Grove,UT,84942,Cafe Rio,STEM,,,,,,,25,5,Intro to Painting Class,6/1/2023 10:00,6/1/2023 12:00,Local Library,100,5/25/2023 10:00,25,15,25,attended,1,6/1/2023 10:10,5/23/2023 10:00,25,34,4,4,4,5,4.25,Promoter,"The pacing made complex ideas feel doable, the data activity during Web Dev Bootcamp Night really clicked for me; I'd attend again with a clearer agenda. The data activity during Web Dev Bootcamp Night really clicked for me, the organizers ran things smoothly even with a big crowd; I'd attend again with a clearer agenda.",6/24/2022 15:23,25,18,AA in Art & Design,2/15/2022,25,53,11/9/2022,28.69
26,riley.jones31@ellarises.org,Riley,Jones,12/26/2010 0:00,participant,801-322-5033,West Jordan,UT,84414,Local Library,STEM,,,,,,,26,8,Web Dev Bootcamp Night,10/10/2025 10:00,10/10/2025 12:00,Community Center Room A,100,10/3/2025 10:00,26,16,26,no-show,0,,9/17/2025 10:00,26,35,4,3,5,4,4,Passive,"The mentor roundtable during Mentor Office Hours really clicked for me, the hands-on segment tied everything together; I'd attend again with a clearer agenda. The mentors were down-to-earth and answered real questions, the resume clinic during Mentor Office Hours really clicked for me. It boosted my confidence more than I expected, the networking breakouts during Mentor Office Hours really clicked for me.",6/9/2025 20:06,26,18,Systems Analyst,7/19/2022,26,54,11/9/2022,28.69
27,abigail.clark32@learners.net,Abigail,Clark,5/10/2003 0:00,participant,801-885-6147,Layton,UT,84210,BYU,Arts,,,,,,,27,6,Data Science Study Group,11/23/2022 10:00,11/23/2022 12:00,Local Library,100,11/16/2022 10:00,27,17,27,attended,1,11/23/2022 10:11,11/21/2022 10:00,27,36,5,5,4,5,4.75,Promoter,"The networking breakouts during Mentor Office Hours really clicked for me, the organizers ran things smoothly even with a big crowd. The panel Q&A during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected; I left energized to keep learning!",4/23/2024 9:11,27,18,IT Help Desk Trainee,2/4/2022,27,55,11/9/2022,28.69
28,elizabeth.jones34@studentmail.org,Elizabeth,Jones,7/18/1999 0:00,participant,801-335-6718,Pleasant Grove,UT,84272,Startup Lab,STEM,,,,,,,28,6,Data Science Study Group,4/26/2023 10:00,4/26/2023 12:00,Virtual Zoom,100,4/19/2023 10:00,28,18,28,cancelled,0,,3/28/2023 10:00,28,37,5,5,4,5,4.75,Promoter,"There were concrete examples I can reuse at school, the goal-setting exercise during Girls in STEAM Mentoring really clicked for me (wish there had been more time). From my perspective, the goal-setting exercise during Girls in STEAM Mentoring really clicked for me, it boosted my confidence more than I expected; This pushed me to apply for a related program. In my opinion, the hands-on segment tied everything together, the mentor roundtable during Girls in STEAM Mentoring really clicked for me.",6/13/2024 9:26,28,19,Published Project,7/27/2023,28,56,11/9/2022,28.69
29,zoe.jackson35@studentmail.org,Zoe,Jackson,9/20/2011 0:00,participant,801-756-5956,Riverton,UT,84854,Retail Store,Both,,,,,,,29,3,Girls in STEAM Mentoring,9/12/2023 10:00,9/12/2023 12:00,Ella Rises HQ,100,9/5/2023 10:00,29,18,29,attended,1,9/12/2023 10:19,8/20/2023 10:00,29,40,5,5,5,4,4.75,Passive,"To be fair, the web dev sprint during Robotics Lab Saturday really clicked for me, the organizers ran things smoothly even with a big crowd. There were concrete examples I can reuse at school, the Arduino demo during Robotics Lab Saturday really clicked for me; This was absolutely worth the time.",3/12/2023 2:14,29,19,Product Designer,5/1/2033,29,57,11/9/2022,28.69
30,mason.smith36@learners.net,Mason,Smith,8/3/2000 0:00,participant,801-337-5333,Logan,UT,84962,Startup Lab,STEM,,,,,,,30,2,Robotics Lab Saturday,5/3/2025 10:00,5/3/2025 12:00,Local Library,100,4/26/2025 10:00,30,18,30,attended,1,5/3/2025 10:08,4/17/2025 10:00,30,41,4,5,5,4,4.5,Passive,"It boosted my confidence more than I expected, the resume clinic during Girls in STEAM Mentoring really clicked for me. The mentors were down-to-earth and answered real questions, the panel Q&A during Girls in STEAM Mentoring really clicked for me!",10/11/2022 22:24,30,20,High School Diploma,9/21/2023,30,58,11/9/2022,28.69
31,scarlett.moore37@learners.net,Scarlett,Moore,6/2/2013 0:00,participant,801-551-4335,Sandy,UT,84735,Tech Apprenticeship,Arts,,,,,,,31,3,Girls in STEAM Mentoring,8/30/2022 10:00,8/30/2022 12:00,Local Library,100,8/23/2022 10:00,31,19,31,no-show,0,,8/27/2022 10:00,31,42,5,4,5,5,4.75,Promoter,"Honestly, I met people who want to collaborate on projects, the resume clinic during Mentor Office Hours really clicked for me. To be fair, the goal-setting exercise during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected. The mentors were down-to-earth and answered real questions, the panel Q&A during Mentor Office Hours really clicked for me.",6/20/2023 4:03,31,20,Internship,1/11/2024,31,59,10/10/2023,25.33
32,mateo.young38@learners.net,Mateo,Young,3/16/2004 0:00,participant,801-849-7939,Provo,UT,84095,Westview High,STEM,,,,,,,32,9,Ella Rises Annual Leadership Conference,6/15/2022 10:00,6/15/2022 12:00,Community Center Room A,100,6/8/2022 10:00,32,19,32,attended,1,6/15/2022 10:26,6/10/2022 10:00,32,43,5,4,3,5,4.25,Promoter,"From my perspective, there were concrete examples I can reuse at school, the panel Q&A during Mentor Office Hours really clicked for me. To be fair, the mentors were down-to-earth and answered real questions, the panel Q&A during Mentor Office Hours really clicked for me. The mentors were down-to-earth and answered real questions, the panel Q&A during Mentor Office Hours really clicked for me.",12/7/2021 9:15,32,21,High School Diploma,9/21/2023,32,60,1/7/2024,27.38
33,skylar.rodriguez39@learners.net,Skylar,Rodriguez,7/31/2010 0:00,participant,801-652-8007,Orem,UT,84760,Westview High,STEM,,,,,,,33,8,Web Dev Bootcamp Night,5/27/2022 10:00,5/27/2022 12:00,Ella Rises HQ,100,5/20/2022 10:00,33,20,33,attended,1,5/27/2022 10:07,5/10/2022 10:00,33,44,5,3,5,4,4.25,Passive,"If I'm being honest, the mentor roundtable during Girls in STEAM Mentoring really clicked for me, the pacing made complex ideas feel doable; It was useful overall! Honestly, the panel Q&A during Girls in STEAM Mentoring really clicked for me, there were concrete examples I can reuse at school; It was useful overall. Overall, the pacing made complex ideas feel doable, the mentor roundtable during Girls in STEAM Mentoring really clicked for me. Surprisingly, the mentor roundtable during Girls in STEAM Mentoring really clicked for me, the hands-on segment tied everything together; It was useful overall.  which surprised me in a good way!",10/23/2024 8:01,33,21,Internship,1/11/2024,33,75,9/30/2022,163.07
34,evelyn.martinez40@ellarises.org,Evelyn,Martinez,8/22/2007 0:00,participant,801-765-3426,Draper,UT,84597,North Summit High,STEM,,,,,,,34,8,Web Dev Bootcamp Night,6/24/2022 10:00,6/24/2022 12:00,Ella Rises HQ,100,6/17/2022 10:00,34,20,34,attended,1,6/24/2022 10:23,6/14/2022 10:00,34,47,5,4,5,4,4.5,Passive,"Overall, the mentor roundtable during Mentor Office Hours really clicked for me, the hands-on segment tied everything together; This pushed me to apply for a related program. The goal-setting exercise during Mentor Office Hours really clicked for me, the mentors were down-to-earth and answered real questions; I'd definitely recommend this to a friend. I didn't expect this, but, the organizers ran things smoothly even with a big crowd, the mentor roundtable during Mentor Office Hours really clicked for me! Overall, the resume clinic during Mentor Office Hours really clicked for me, the hands-on segment tied everything together.",3/9/2025 17:26,34,22,Digital Illustration Certificate,8/10/2023,34,76,4/18/2022,173.89
